0,Model_0,Model_1,Model_2,Average
GO:0005786,0.0,0.0,0.0,0.0
GO:0003964,0.0003507033662498764,0.0,0.0,0.00011690112208329214
GO:0006807,8.747537552674117e-05,0.0,0.0,2.9158458508913723e-05
GO:0008883,0.0014629736984901765,0.0,0.0020068610634648367,0.0011566115873183377
GO:0048024,0.0,0.0,0.0,0.0
GO:0043580,0.0005304542029138554,0.0,0.0,0.0001768180676379518
GO:0016972,0.0,0.001484946451251949,0.0,0.0004949821504173163
GO:0047115,0.001556748447016116,0.0,0.0,0.000518916149005372
GO:0008333,0.0,0.0,0.0,0.0
GO:0032780,0.0,0.0,0.0,0.0
GO:0140278,0.0,0.0,0.0,0.0
GO:0018188,0.0,0.0,0.0,0.0
GO:0009019,0.0,0.0,0.0,0.0
GO:0005771,0.0,0.0,0.0,0.0
GO:1990281,0.00010965781477077561,0.0,0.0,3.655260492359187e-05
GO:0043829,0.0,0.0,0.0,0.0
GO:0000785,0.0,0.0,0.0,0.0
GO:0052865,0.0003452728622971467,0.0,0.0,0.0001150909540990489
GO:0018394,0.0,0.0,0.0,0.0
GO:0042327,0.0,0.0,0.0,0.0
GO:0006113,0.00014337940141930284,0.0,0.0,4.779313380643428e-05
GO:0102040,0.0,0.0,0.0,0.0
GO:0016702,0.00012612918592752058,0.0,0.0,4.2043061975840195e-05
GO:0004034,0.0,0.0,0.0,0.0
GO:0001056,0.0,0.0,0.0,0.0
GO:0015918,0.0,0.0,0.0,0.0
GO:0019284,0.0,0.0,0.0027388177757457716,0.0009129392585819239
GO:0000262,0.0,0.0,0.0,0.0
GO:0003723,7.342352952342077e-06,0.0,0.0,2.4474509841140254e-06
GO:0009399,0.0,0.0,0.0,0.0
GO:0019062,0.0,0.0,0.0,0.0
GO:0061952,0.0,0.0,0.0,0.0
GO:0061595,0.0,0.0,0.0,0.0
GO:0032414,0.0,0.0,0.0,0.0
GO:0006970,0.0,0.0,0.0,0.0
GO:1905037,0.0,0.0,0.0,0.0
GO:0047423,0.0,0.0,0.0,0.0
GO:0001401,0.0,0.0,0.0,0.0
GO:0000724,0.00028787540536655303,0.0,0.0,9.595846845551768e-05
GO:0003777,0.0,0.0,0.0,0.0
GO:0016746,0.0011564511891777119,0.0,0.0,0.00038548372972590394
GO:1901684,0.0,0.0,0.0,0.0
GO:0006683,9.149867132630044e-05,0.0,0.0,3.0499557108766814e-05
GO:0070179,0.0,0.0,0.0,0.0
GO:0030694,0.00011997439617594697,0.0006776852594082944,0.0,0.0002658865518614138
GO:0071572,0.0,0.0,0.0,0.0
GO:0106277,0.0,0.0,0.0,0.0
GO:0051539,0.0002139567703795081,0.0,0.0,7.131892345983604e-05
GO:0061644,0.0,0.0,0.0,0.0
GO:0045150,0.0,0.0,0.0,0.0
GO:0015665,0.0,0.0,0.0,0.0
GO:0008120,0.00019945828468336096,0.0,0.0,6.648609489445365e-05
GO:0042601,0.0,0.0,0.0,0.0
GO:0018741,0.0005689697782983376,0.0,0.0,0.00018965659276611252
GO:0009016,0.00018098059052727716,0.0,0.0,6.032686350909239e-05
GO:0070274,0.0,0.0,0.0,0.0
GO:0050606,0.0,0.0,0.0,0.0
GO:0033890,0.00013538068221245113,0.0,0.0,4.5126894070817043e-05
GO:0046061,0.0,0.0,0.0,0.0
GO:0006110,0.0,0.0,0.0,0.0
GO:0001664,0.0,0.0,0.0,0.0
GO:0018620,0.0,0.0,0.0,0.0
GO:0103064,0.0,0.0,0.0,0.0
GO:1902404,0.0,0.0,0.0,0.0
GO:0031298,2.0689904657988984e-19,0.0,0.0,6.896634885996328e-20
GO:0009014,0.0001806083726299195,0.0,0.0,6.020279087663984e-05
GO:0015986,0.0005762368866929572,0.0,0.0,0.0001920789622309857
GO:0048015,0.00015563982137421865,0.0,0.0,5.1879940458072884e-05
GO:0047736,0.0,0.0,0.0,0.0
GO:0006310,0.0,6.6239650101101905e-18,0.0,2.2079883367033967e-18
GO:0006876,9.811851443525185e-06,0.0009435854235515248,0.0,0.0003177990916650167
GO:1904595,0.0,0.0,0.0,0.0
GO:0071543,0.0,0.0,0.0,0.0
GO:0047643,0.0,0.0,0.0,0.0
GO:0098785,0.0,0.0,0.0,0.0
GO:0005736,0.0,0.0,0.0,0.0
GO:0005797,0.0,0.0,0.0,0.0
GO:0009070,0.0,0.0,0.0,0.0
GO:0016260,0.0019724664346776723,0.0,0.0,0.0006574888115592241
GO:0015648,0.0003169503363893192,0.0,0.0,0.00010565011212977307
GO:0033765,0.0002165475603133528,0.0,0.0,7.218252010445093e-05
GO:0044377,0.0,0.0,0.0,0.0
GO:0010828,0.0,0.0,0.0,0.0
GO:0004362,1.229142980590269e-05,0.0,0.0,4.09714326863423e-06
GO:1901235,0.0,0.0,0.0,0.0
GO:1900063,0.0,0.0,0.0,0.0
GO:0044183,0.0,0.0,0.0,0.0
GO:0006002,0.0005980028856319186,0.0,0.0,0.00019933429521063956
GO:0042158,0.00019473237315560912,0.0,0.0,6.49107910518697e-05
GO:0019217,0.0016506016695637428,0.0,0.0,0.0005502005565212476
GO:0032150,3.427249890897321e-05,0.0,0.0,1.142416630299107e-05
GO:0000802,0.0,0.0,0.0,0.0
GO:0061736,0.0,0.0,0.0,0.0
GO:0004854,0.0,0.0,0.0,0.0
GO:0004557,0.0004747277860484879,0.0,0.0002830079545973403,0.00025257858021527605
GO:0015038,0.0,0.0,0.0,0.0
GO:0009269,0.0,0.0,0.0,0.0
GO:0018548,0.00023168019642180878,0.0008920958837095553,0.0,0.00037459202671045474
GO:0034025,0.0,0.0,0.0,0.0
GO:0044732,0.0,0.0,0.0,0.0
GO:0047453,0.0,0.0,0.0,0.0
GO:0051896,0.0,2.5879203838895705e-18,0.0,8.626401279631902e-19
GO:0035066,0.0,0.0,0.0,0.0
GO:0034979,0.00016996928099118197,0.0,0.0,5.6656426997060656e-05
GO:0032233,0.0,0.0,0.0,0.0
GO:0001522,9.666859774408912e-05,0.0,0.0,3.2222865914696376e-05
GO:0034477,0.0,0.0,0.0,0.0
GO:0004049,0.0,0.0,0.0,0.0
GO:2000767,0.0,0.0,0.0,0.0
GO:0097043,0.0,0.0,0.0,0.0
GO:0097157,0.0,0.0,0.0,0.0
GO:0000832,0.0,0.0,0.0,0.0
GO:0009736,0.0,0.0,0.0,0.0
GO:0009328,0.00024390243902439065,0.0,0.0,8.130081300813022e-05
GO:0005871,3.0394342894698046e-19,0.0,0.0,1.0131447631566016e-19
GO:0043596,0.0,0.0,0.0,0.0
GO:0006563,0.0,0.0,0.0,0.0
GO:0032050,0.0,0.0,0.0,0.0
GO:0080019,0.00027287963927023117,0.0,0.0,9.095987975674373e-05
GO:0045144,0.0,0.0,0.0,0.0
GO:1990545,0.0,0.0,0.0,0.0
GO:0033926,0.0,0.0,0.0,0.0
GO:0016847,0.0,0.0,0.0,0.0
GO:0006747,0.00011022424933485386,0.0,0.0,3.674141644495129e-05
GO:0070273,3.3247775280999916e-05,0.0,0.0,1.1082591760333306e-05
GO:0009450,0.0,0.0,0.0,0.0
GO:0043412,0.0011073506651894094,0.0,0.0,0.0003691168883964698
GO:0080130,0.0,0.0,0.0,0.0
GO:0002184,8.041920043847848e-05,0.0,0.0,2.6806400146159494e-05
GO:0008923,0.0,0.000933731759837221,0.0,0.0003112439199457403
GO:1900364,0.0,0.0,0.0,0.0
GO:0044874,0.00022527042898518737,0.0,0.0,7.509014299506246e-05
GO:0004568,0.0,0.0,0.0,0.0
GO:0035023,0.0,0.0,0.0,0.0
GO:0036286,0.0,0.0,0.0,0.0
GO:0033825,0.0,0.0,0.0,0.0
GO:0005798,0.0,0.0,0.0,0.0
GO:0016891,0.0,0.0,0.0,0.0
GO:0004438,0.0,0.0,0.0,0.0
GO:0098567,0.0,0.0,0.0,0.0
GO:0045148,0.0006338364321528641,0.003405792141757091,0.0,0.001346542857969985
GO:0019553,0.0,0.0,0.0,0.0
GO:0000028,0.0,0.0,0.0,0.0
GO:0052739,0.0,0.0,0.0,0.0
GO:0045505,0.0,0.0,0.0,0.0
GO:0043785,0.0,0.0,0.0,0.0
GO:1901907,0.0,0.0,0.0,0.0
GO:1902369,0.0,0.0,0.0,0.0
GO:0070478,0.0,0.0,0.0,0.0
GO:0070041,9.31404777558626e-05,0.0,0.0,3.104682591862087e-05
GO:0045303,0.00037158018490060003,0.00029845269402483017,0.0,0.00022334429297514338
GO:0006666,0.0,0.0,0.0,0.0
GO:0030288,0.0,0.0,0.0,0.0
GO:0006396,0.0,0.0,0.0,0.0
GO:0004365,0.00026120729745039245,0.0,0.0,8.706909915013082e-05
GO:0032194,0.0,0.0,0.0,0.0
GO:0009156,6.662576528499505e-05,0.0,0.0,2.2208588428331683e-05
GO:0034486,0.0,0.0,0.0,0.0
GO:0070209,0.0,0.0,0.0,0.0
GO:2001040,0.0,0.0,0.0,0.0
GO:0070816,0.0,0.0,0.0,0.0
GO:0034967,0.0,0.0,0.0,0.0
GO:0006289,8.365775550558446e-05,0.0,0.0,2.7885918501861488e-05
