,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[72 42 27 81  0 43 60 69 55 61  5  8 21 32 71  1 30 45 24 70 56 76],0.2155,1.0,0.7412,0.8353
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[83 44 37 65 32 27 60 36 78  7 70 48 56 71 64 31 68 73 45 76 86 20],0.3117,1.0,0.7765,0.8588
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[35  5  0 44 65 45 13 71 81 15 70  1 11 61 86 40 78 82 66 75 57 31],0.6983,1.0,0.4471,0.6824
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[23 35 45 17 15 78 58 21 59 74 14 67 29  5 12 68 63  9 26 80 84 38],0.3111,1.0,0.8824,0.6706
4,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 100}",[19 54 48 42 40  8 28 32 73 77 72 44  6 69 68 49 27 20 24 52  3 55],0.3288,1.0,0.7882,0.8941
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[ 7 71  4 65 72  2 70  8 51 30 16 39 73 19 69 31 10 80 60 21 81 23],0.2472,1.0,0.8235,0.8824
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[15 68 17 66 24 82 59 60 31 72 32 85 65 51 78 54 61 19  4 53 40 87],0.26,1.0,0.7412,0.8941
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 700}",[56 71 11 17 31  3 47  5  7 86 51 59 81 76 50 14 84 37 68 80 65 19],0.31,1.0,0.6706,0.8353
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[48 55 31 74 28 44 30 82 49 73 56 66 67 43  9 83 51 35 16 60 78 77],0.218,1.0,0.8,0.8353
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[59 32 13 10 11 56 79 52 21 45 34 58 60 53 50  0 25 81 24 23 17 67],0.2386,1.0,0.4941,0.8588
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500}",[41 25 43 10 54 48 11 24 15 78 50 86 37 73  9 69 45 33 51 20 52 57],0.2279,1.0,0.5529,0.8471
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[47 78 68 10 58 40 71 79 44 87  4 60 39 13 50 37 46 52 84 15 57 86],0.2671,1.0,0.5176,0.7765
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[72 84 28 35 22 44 50 60 41 38 78 18 45 14 86 58 39 54 24 19 12 15],0.3333,1.0,0.6588,0.8941
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 2  5 18 31  8 17 13 38 50 23 66 12 59  6 72 16 52 79 82 42 36 20],0.2767,1.0,0.8824,0.8059
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[51 18 50 35 23 24 28 79 17 29  1  3 69 62 11 57 20 25  9  4 59 58],0.3564,1.0,0.3882,0.7176
15,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[ 8 60 10 55 21 44 39 27 77 83 26 45 38 11 12  9 37 59 87  0 85 86],0.3048,1.0,0.7176,0.8471
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 700}",[41 64 40 22 86  6 42 66 27 12 31 51  8  5 14 62 58 18 46 21 70 47],0.24,1.0,0.8353,0.6941
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[ 4 23 31 68 32 80 43  2  9 20 14 71 11 34 52 66 86  7 78 36 33 84],0.2948,1.0,0.6941,0.9765
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[50  8 37  0 77 24 86 12  1 26 57 81  5 35 42 60  9 52 43 21 54 74],0.384,1.0,0.7882,0.8235
19,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[28  3 79 70 42 52 38 15 44 59 29 86 81 82 56 75 10 61 57 16 40 45],0.3533,1.0,0.5765,0.7529
