,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[53 26  3 46 13 85 86 28 52 35 23 21 78 38 12 69 50 58 44 15 40 59],0.3671,1.0,0.8,0.7412
1,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 300}",[61 55 65 70  8 23 56 37 29 12 72 13 32 27 10 66 63 67 21 68 41 62],0.3177,1.0,0.8235,0.7059
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[73 17 57  9 59 31 36 66 77 10 60  3 16 29 28 81 34  8 25 41 75  1],0.36,1.0,0.8471,0.6353
3,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",[ 4 22 28 45 81  5 44 57  2 42 86 47 87 53 49 85 84 29 33  6 39 26],0.2457,1.0,0.6118,0.7118
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[46 71 14 53 65 42 13 57 60  6 26 74 56 72  0 78 28 31 25 32 67 20],0.2567,1.0,0.8118,0.6118
5,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 700}",[ 5 52 72 55 31 75 10 47 69 64 57 60 82 13 48 42 63  6  2 84 73 43],0.3786,1.0,0.8706,0.7647
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[52 61 72 48 87  9 42 19 74 73 50 40  3 21 60 85 24 57 43 28 36 46],0.211,1.0,0.7412,0.8
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[13 67 61 27 53 10 47 48  8 31 60 12 79  7 18 14 46 25 62 44 72 11],0.4185,1.0,0.7647,0.7059
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[ 9 31 63 43  2 16 22 74 34 40 85 58  4 70 57 54 50 19 38 81 17 53],0.3092,1.0,0.8471,0.7529
9,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 300}",[74 40 33 39  7  3 56 81  4 29 49 51 69 45 66 10 34 12 36 82 87  8],0.3325,1.0,0.7294,0.6353
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 700}",[ 6 41 54 75 44 14 23 26 81 82  7 13 34 46 25 48 86 36 67 42 74 84],0.2226,1.0,0.8706,0.5294
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[ 2  4 49 60  8 47 85 23 55 16 61  5 64 87 70 65 83 31 69 42 10  3],0.23,1.0,0.8941,0.8118
12,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 900}",[14  6 35 23 21  2 42 56  0 52 36  9 10 24 61 25 58 68 51 84 39 22],0.389,1.0,0.9059,0.6941
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[64 48 30 87 10 14  2 32 16 27 35 58 49 56 72 62 79 70 82 44 39 46],0.2458,1.0,0.8941,0.7176
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[59 64 22 86 35 71  2  6 24 81 14 69 78 19 70 73  4 55 23 42 52 57],0.3134,1.0,0.7882,0.7294
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[80 46 18 58 29 14 36 66 26 30 52  4 55 32 25 67 34 31 37 78 56 70],0.2825,1.0,0.8235,0.6353
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[61 66 79 10 87 34 50 52 58 43 31 74 37 49 25 28 78 20 77 22 82 86],0.3134,1.0,0.8471,0.6235
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[20 82 66 59 62 11 87  8  4 48 44 30 28 39 31 22 64 21  7 74 12 47],0.2102,1.0,0.8588,0.7294
18,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",[14 21 20 35  6 16 60 12 45 62 80 67 33 15  9 51 47 17 30 10 11  3],0.2957,1.0,0.5882,0.7412
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[41  8 78  7 44 58 42 76 63 60 57 47 82  0 32 11 34 40 26 22 68 74],0.3778,1.0,0.8294,0.6824
