,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[75  6 48 19 17 66 81 58 50 47 40 55 22 38 14 84 45 36 15 29 69 72],0.3202,1.0,0.7647,0.7059
1,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",[21 32 46 16 15 79 60 19 62 74 12 68 27  6  9 61 64 11 37 82 85 35],0.19,1.0,0.6176,0.6647
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[61 64 16 47 77 67 62 29 24  9 39 35 80 55 79 45 37 50  1 71  6 56],0.2776,1.0,0.8118,0.7765
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[84 40 42 77 27 38 20 25 11 17 58 46  1 28 33 37 23 35 60 87 82 47],0.2094,1.0,0.7059,0.5294
4,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[19 12 23 11  5 14 79 27 71 70 63 16 18 50 72 31 53 36 29 43  8 51],0.19,1.0,0.5941,0.5471
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[16  9 73 75 65 72 87 85  8 79 27 64 71 60 82  5 17 55 58 56 24 31],0.2154,1.0,0.6824,0.8353
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[ 3 79 46 29 10 31 47 56 75 68 22  6 38 26 51  8 80 71 44 87 37 60],0.252,1.0,0.8588,0.7059
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[49 12 38 62  9 17  3 43 16 61 58 68 70 78 32 47 74 35 57 45 80 33],0.406,1.0,0.8,0.7647
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[85 35 48 68 47 45 42 43 26 82 79 41 70 31 15  3 25 72 67 22 12  6],0.224,1.0,0.7294,0.7706
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[42 36 44 13 55 48  8 22 15 79 50 86 34 71 11 69 46 30 51 18 52 54],0.312,1.0,0.8353,0.8118
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[57 55 33 75 61 41 82 21  2 10 85 59 15 80 32 25  1 72 20 48 43 26],0.2898,1.0,0.8,0.8588
11,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",[42 11  8 66 82  2 49 37 44 55 33 23 63 20  0 54 32  7 21 45 87 85],0.23,1.0,0.6,0.6353
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[27 42 30 67 55 61 86 56  8 40 12 58 70 21 68 18 39 43 32 45 17 53],0.2753,1.0,0.7647,0.7059
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[40 44 84 46 59 48 72 11 82  0  6 36 23 70 86 31 45  8  4 18 17 62],0.1867,1.0,0.6176,0.5765
14,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[17 77 18 41 50 76 67 46 30 37  8  3 20  6  1 56 24 27 79 57  7 64],0.19,1.0,0.6824,0.6588
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[ 0 78 66 27 72 13 44 82 79 37 80 62 41 53 81 23 54 20 35  5  1 73],0.313,1.0,0.7059,0.5882
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[67 19 71 72 55 32 85 39  8  6 80 46 79 48 37 50 14 77 74 76 75 51],0.2816,1.0,0.8471,0.6941
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[25 56 13 58 64 37 19  0 16  1 86 10 22 41 31 23 87  6  7 47 12 20],0.19,1.0,0.6765,0.5765
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[37  5 61 53 83 79 57 78 51 19 28 49 41 82 39 40 43 73 65 62 13 60],0.2291,1.0,0.9529,0.7176
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[65 36 66 49 40 31 13 57 80 29  2  6  0  3 64 79 84 77 44 59 52  4],0.3159,1.0,0.8471,0.7882
