,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[59 76 42 54 81 87 60 71  9 12 14 51 19 82 80 45 79 17 23 18 26 61],0.1956,1.0,0.6706,0.5
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[41 81 54 76  4 17 43 77 27 86 62  1 44 63 53 55  2 22 52 69 38 18],0.1697,1.0,0.7412,0.625
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 700}",[63 21 75 68 82 54 72 38 29 39 40 42 45 27 17  3 49 55 25 23 60 77],0.321,1.0,0.7412,0.8125
3,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",[18 60 72 19 22 53 55 24 61 14 44 49 40 36 83  9 10 34 21 59 15 43],0.3919,1.0,0.6824,0.6771
4,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[45 75 37 58 26  4 63 33 59 43 86 60 10 79 30 14  5 54 57 66 25 21],0.31,1.0,0.8,0.7552
5,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 300}",[74 29 24 49 60 43 61 51 77 27 75 50  4 59 85 18 40 82 17 76 30 47],0.2674,1.0,0.7059,0.6146
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[65 49 63 18 79 10 29 11 39 12 50 51 53 58 59 82 26 33  0 23 67 38],0.3038,1.0,0.8235,0.75
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[70 36  7 47 50 66 53 24 29 64 14 35 33 42 60  5 27 37 82 12 80 77],0.218,1.0,0.7176,0.6562
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[10 23 28 29 27  0 72 67 60  5 61 45 11 21 32  7 86 12 31 17 54 47],0.3597,1.0,0.9294,0.625
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[28  5 46 84 86 64  1 21 39 48 29 53 22 80 83 18 61 14  2 70 77 52],0.2821,1.0,0.7647,0.5521
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[78 85 27 35 75 10 68 38 20 65  9 60 84 11 33 81 44 30 15 17 58 39],0.2609,1.0,0.6824,0.7083
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[56 22 68 82 73 83 64 51 79 32 49 46 17 30  0 66 12 47 38  8 21 50],0.222,1.0,0.9412,0.6562
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[56 41 65  2  9 22 73 67 26 78 37  1 84 18  5 82 75 31 38 86 23 52],0.2092,1.0,0.8353,0.6771
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[50 46 49 31 62 17 15 69 51 48 61 41 24 74  7 67 23 42  9 10 21 53],0.218,1.0,0.8118,0.7031
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[ 7 70  9 45 15 35 30 19 76 83 66 36 29 60 61  8 28 48 87  0 84 85],0.112,1.0,0.5529,0.651
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[75 19 27 61 82 77  1 86 64 24 52 13 87 17 21 40 26 41 72  8 37 31],0.22,1.0,0.7706,0.5729
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[39 25 27 38 18 72 52 48 74 54 86  7 34 20 57 83 63 43 84 29  2 37],0.2605,1.0,0.8941,0.7812
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[45 54 58 60 61 43 11 74 62 17 34 49 78 36 35  5 39 33  0 52  7 84],0.1652,1.0,0.6588,0.6562
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[55 66 68 16  4 13 23 65 14 84 62  2 31 58 15 32 81 27 44  5 51 73],0.3077,1.0,0.8235,0.6146
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[52  3 76 60 75 46 45 65 56 41 80 84 70 61 49 36 59 33 19 10 85 42],0.2284,1.0,0.5529,0.625
