,IBD-output_folder_seed127_Run_1_MasterSeed_45,IBD-output_folder_seed127_Run_2_MasterSeed_934,IBD-output_folder_seed127_Run_3_MasterSeed_638,IBD-output_folder_seed127_Run_4_MasterSeed_594
0,0.8824,0.8294,0.8353,0.6706
1,0.7529,0.8294,0.8,0.6353
2,0.8588,0.8471,0.8118,0.6353
3,0.8588,0.8353,0.7824,0.7765
4,0.8471,0.8941,0.8,0.5882
5,0.8294,0.8706,0.7824,0.5059
6,0.7529,0.9176,0.7529,0.6529
7,0.8706,0.7882,0.8706,0.7176
8,0.8353,0.8,0.7529,0.6882
9,0.8235,0.9059,0.8,0.6941
10,0.7647,0.7882,0.8118,0.5529
11,0.8706,0.7765,0.8,0.6
12,0.8706,0.8706,0.7765,0.6588
13,0.8824,0.8824,0.8,0.6353
14,0.8118,0.8118,0.7765,0.5059
15,0.8588,0.7647,0.8118,0.7882
16,0.8471,0.8706,0.8706,0.6941
17,0.8471,0.8118,0.8471,0.6824
18,0.8706,0.8,0.7059,0.5882
19,0.9059,0.7765,0.8,0.6059
