,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[58 55 42 62 11 34 15 18 20 33 32 86 76 59 67 14 27 68 28 85 75  0],0.2067,1.0,0.8118,0.6979
1,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[58 55 22 19 70 47 49 20  7 40  5 28  1 69 33 62 74 37 63 85  8 18],0.3238,1.0,0.4471,0.5417
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",[76 34 37 30 11 72 36 78 10 64  8 84  3 32 18 21 51 13 61 58 69 19],0.2029,1.0,0.6706,0.6042
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[81  9 74  8 22 38 13 46 18 58 63 54 48 40 27 33 62 39 71 23 68 19],0.3605,1.0,0.7882,0.7812
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[74 75 87 69  2 38 58 42 18 19 73 77 62 55 68 56 70  1 33 20  8 54],0.2188,1.0,0.7059,0.7917
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[ 3 47 60 11 20 87 85 75 25  0  8 23 12 68 81 86 54 77  5 26 29 69],0.3522,1.0,0.8353,0.6458
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[66 42 21 70 81 62 46  5 52 34  2 78 17  8 19 47 24 50 10 76 49 87],0.2839,1.0,0.8706,0.7188
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[74 57 45 60 40 35  5  3 76 69 62 21 61 48 28 18 85 79 12 84 44 54],0.104,1.0,0.5176,0.651
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[83 69 71 25 35 73  0 27 12 62 36 31 82 47 58  1 87 50 11  4 74 18],0.2362,1.0,0.6706,0.6771
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[79  0 49 46 50 69 23 60 58 30 16 17 35 65 71 51 67 27  2 78 21 87],0.2411,1.0,0.7765,0.6562
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[25 76 50 16 11 27 42 47 40  4 64 70 24 45 80 59 74 49 18 46 58 82],0.31,1.0,1.0,0.7396
11,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 6 18 35 82 78 20 83  7  3 57 85 44 87 79 61 28  1 84 24 63 56 13],0.2167,1.0,0.9176,0.6042
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[60 65 33 59 53 26 27 48  4 57 72 17  9 71 58 34 45 78  8  2  6 87],0.3931,1.0,0.7765,0.6875
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[ 6 63 32 25 55 52 51  7  8 42 43 34 79 62 26 19 78 83 17 38 67 45],0.2472,1.0,0.9176,0.7917
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[68 74 53 70 23 24  9 41 59 38 47 25 49 44 83 80 73 15 46 20 21 39],0.2067,1.0,0.8765,0.6719
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[50 46 49 31 62 17 15 69 51 48 61 41 24 74  7 67 23 42  9 10 21 53],0.17,1.0,0.8118,0.5833
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[19 52 41 43  3 29 24 51 49 59 47 70  9 39 28 21 72 56 30 67  6 60],0.3576,1.0,0.8,0.7188
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[85 27 16 52 18 39 67 83 43 50 34  2 26 60 78 28 63 37 79 55 45 38],0.2932,1.0,0.9059,0.5833
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[36 42 63  5 64 25  7 66 34 47 45 77 71 55 41 87 23 83 54 67 37 30],0.3095,1.0,0.8706,0.6354
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[74 67 12 81 15 87 47 50 48 21 24 36 85 79  5 51 38 44 27  0 61 86],0.2,1.0,0.9529,0.6771
