,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[26 14 11 86 87 46 74 36 61 69 28 20 60 52 30  2 64 10 19 53 48 79],0.1429,1.0,0.7765,0.6353
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[62 73  5 17 32  3 50  7  8 86 56 64 69 77 55 10 83 39 52 84 68 18],0.225,1.0,0.7294,0.5529
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[ 7 42  4 81 54  1 43 45 15 83 36 12  0 62 11 66  3 75 72 37 50  6],0.18,1.0,0.8,0.6
