,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[87 34 20 15 45 19 72 10 69 40 43 77 23 47  5  2 13 57 61 60 62 49],0.2834,1.0,0.6824,0.6667
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[80  0 49 46 50 69 23 60 58 30 16 17 35 65 73 51 67 27  2 74 21 87],0.314,1.0,0.8824,0.7708
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[66 78 49 70  5 53 20 19  7 30  4 28 22 84 60 47 48 32 75 35 59 61],0.2311,1.0,0.7647,0.8125
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[40 36 83 37 81 42 68 38 10 63 33 58 35  8 19 39 85  2 18 79 32 73],0.2231,1.0,0.7176,0.7188
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[80  0 49 46 50 69 23 60 58 30 16 17 35 65 73 51 67 27  2 74 21 87],0.314,1.0,0.8824,0.7708
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[66 78 49 70  5 53 20 19  7 30  4 28 22 84 60 47 48 32 75 35 59 61],0.2311,1.0,0.7647,0.8125
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[40 36 83 37 81 42 68 38 10 63 33 58 35  8 19 39 85  2 18 79 32 73],0.2231,1.0,0.7176,0.7188
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[80  0 49 46 50 69 23 60 58 30 16 17 35 65 73 51 67 27  2 74 21 87],0.314,1.0,0.8824,0.7708
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[66 78 49 70  5 53 20 19  7 30  4 28 22 84 60 47 48 32 75 35 59 61],0.2311,1.0,0.7647,0.8125
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[40 36 83 37 81 42 68 38 10 63 33 58 35  8 19 39 85  2 18 79 32 73],0.2231,1.0,0.7176,0.7188
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[80  0 49 46 50 69 23 60 58 30 16 17 35 65 73 51 67 27  2 74 21 87],0.314,1.0,0.8824,0.7708
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[66 78 49 70  5 53 20 19  7 30  4 28 22 84 60 47 48 32 75 35 59 61],0.2311,1.0,0.7647,0.8125
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[40 36 83 37 81 42 68 38 10 63 33 58 35  8 19 39 85  2 18 79 32 73],0.2231,1.0,0.7176,0.7188
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[80  0 49 46 50 69 23 60 58 30 16 17 35 65 73 51 67 27  2 74 21 87],0.314,1.0,0.8824,0.7708
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[66 78 49 70  5 53 20 19  7 30  4 28 22 84 60 47 48 32 75 35 59 61],0.2311,1.0,0.7647,0.8125
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[40 36 83 37 81 42 68 38 10 63 33 58 35  8 19 39 85  2 18 79 32 73],0.2231,1.0,0.7176,0.7188
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[80  0 49 46 50 69 23 60 58 30 16 17 35 65 73 51 67 27  2 74 21 87],0.314,1.0,0.8824,0.7708
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[66 78 49 70  5 53 20 19  7 30  4 28 22 84 60 47 48 32 75 35 59 61],0.2311,1.0,0.7647,0.8125
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[40 36 83 37 81 42 68 38 10 63 33 58 35  8 19 39 85  2 18 79 32 73],0.2231,1.0,0.7176,0.7188
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[80  0 49 46 50 69 23 60 58 30 16 17 35 65 73 51 67 27  2 74 21 87],0.314,1.0,0.8824,0.7708
