,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[22 48 18 80 59 24 84 76 57 40 86 75 53 77 47 16 62 19 43  0 83 12],0.24,1.0,0.6059,0.6176
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[21 53 23 26 57 80 73 52 36 19  6  5 25  7  1 63 29 33 82 64  8 70],0.2429,1.0,0.8059,0.7765
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[71  2  9 61  6 69 29 13 74 60 53 66  3 83 21 42 23 18 62 81 34 32],0.2855,1.0,0.9294,0.7765
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[30 26 44 58 21 86 60 63 51 18 87  8 64 74 20 49  3 10 67 56 75 66],0.2733,1.0,0.8235,0.6824
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[41 39 25 64 15 85 63 73  6 16 10  1 84  0 50 42 20 29 12 57 31 33],0.2816,1.0,0.7765,0.7765
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[12 77 38 70 51 59 39 69 82 75 74 25 11 73 66 19 85 58 52 57 10 41],0.278,1.0,0.8118,0.8
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[20 60 48 10 87 59  8 25 75 61 73 79 17 86 47 66 31  5 64 43 40 53],0.2987,1.0,0.6235,0.7882
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[52 46 38 18  3 12 24 13 59 84 36 64 55 11 85 27 50 19  9 51 80 23],0.3127,1.0,0.6824,0.7529
8,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[56 46 14 20 71  9 61 51 85 34 80 21  8 67 12 18 73  6 36 11 69 86],0.23,1.0,0.7941,0.7882
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[67 57 13 32 65 42  7 74 27 66 69 37 36  2 54 62  6 10 56 51 48 21],0.2529,1.0,0.9647,0.8824
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[25 53 55 31 12 13 66  8 79 72 41 77 61 21  1 22 60 82 75 30  9 40],0.3657,1.0,0.8824,0.8118
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[56 71 29 41 84 81 74 31 77 82 22 15 83 48 50 68 39 47  3 12 45 49],0.2546,1.0,0.6706,0.8
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[50 13 44 76 35 55 25 29 47 40 14 74 12 82 28 65 11 56 34 21 26 57],0.3707,1.0,0.7294,0.8118
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[68 26 56 14 58 79 10 27 75 66  0 72 33 59 70 50 76 13 65 71 77  7],0.3204,1.0,0.7647,0.6706
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[67 62 72 13  5 77 85 74 65 30  4 33 40 66 83 84 76 75 38 58 68 73],0.36,1.0,0.6941,0.8471
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[78 73 51 77 63 47  9 71 11 79 29 16 86  3 67  6 87 72 52 76 64 41],0.182,1.0,0.7,0.8471
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[45  9 80  7 47 48 31 78 68 63 61 32 83  0 36 12 39 43 16 25 71 76],0.1978,1.0,0.7882,0.8706
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[27 60  6 24 48 84 23 70  7 87 51 71 46 58 40 67  9 78 37 47 76 68],0.3251,1.0,0.8235,0.7765
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[29 72 59 61  3 42 36 71 69  5 65 32 13 56 41 33  6 75 43 22  8 11],0.3104,1.0,0.8118,0.8471
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[86 78 43 12 62 63 29 22 46 68 28 35  2 13  1 56 58 19 52 48 31 36],0.2272,1.0,0.6706,0.7529
