,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[44 17  1 35  2 87 25 74 73 79 60 83 16 63 33 24 36 80 49 28 10 56],0.2628,1.0,0.8235,0.7647
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[64 82 66 24 56 29 47 30 21 14 83 59 84 71 50 63 20 27 44 40 18 26],0.3636,1.0,0.9294,0.6353
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[21 52 12 71 31 74 58  3 14 39 22 37  1 41 47  2 24 51  4 36 29 40],0.2281,1.0,0.8824,0.6471
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[28 24 58 27 67 10 37 55 85 63 76 69 45  9 87 12 49 72 41 38 65 47],0.3107,1.0,0.8588,0.7529
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[35 44  1  4 54 13 78 65 69 76 37 15 16 51 79 24 39 80  0 46 52 56],0.2226,1.0,0.7765,0.7059
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[47 26 50 11 62 56  9 24 13 82 58 86 40 48 10 45 54 34 59 18 60 35],0.3135,1.0,0.9647,0.7529
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[ 7 23 34 31 26 62 47 66 36 81 18 51 14 38 46 55 25 10 77 86 52 42],0.2528,1.0,0.9294,0.6941
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[66 33 57 19 53 79  7 23 74 67  0 71 30 59 69 48 75 11 65 70 77  5],0.2347,1.0,0.7647,0.7294
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[78 72 51 77 63 49 14 70 16 79 25 26 86  3 76  9 87 71 54 75 64 40],0.1933,1.0,0.8824,0.7059
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[44 32 25 65 20 68 60  7 29 30 28 81 76 36 41 39  8 10  0 54 70 83],0.2496,1.0,0.6824,0.6353
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[76 20 30 47  0 17 35 50 24  9 43 36 80  2 21 38 16 15 68 18 46 59],0.18,1.0,0.7294,0.6471
11,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",[24 11  7 86 87 36 77 38 63 52 28 20 62 44 30  2 66 16 18 45 51 82],0.2835,1.0,0.8353,0.6
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[45 10 30 82 51 26 37 57 18 71 19 20 47 75 33 60 28  9 32  1  0 77],0.2431,1.0,0.9647,0.7294
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[34 32 69 35 13 27 71  0 23 53  4 24 37 42 86 59 18 43 41 85 12 26],0.3306,1.0,0.8235,0.6941
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[54 47 42 13  3 10 20 11 59 84 34 64 56 16 85 23 48 27 14 51 80 18],0.2543,1.0,0.9118,0.6706
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[ 2 72 31 84  5 75 85 49 34 69 53  7 59 66 20 35 44 22 37 24 50 52],0.3003,1.0,0.9647,0.6824
16,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",[75 43 37 41  5  9 60 67  2 30 55 44 71 50 52  7 38 11 40 83 87 14],0.3245,1.0,0.5882,0.8
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[18 41 36 19 10  5 71 35 72 87 74 55 59 38 24 77 31 67 52 85 57 63],0.2219,1.0,0.7176,0.7647
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[84  9 39 85 14 31 36 32 79 38 75 59 58 65 55  6 66 18 21 35 87 42],0.246,1.0,0.8824,0.7412
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[13 65 60 30 50  5  0 11 19 62 12 21 53 14 77 74 45 72 73 16 66 68],0.3906,1.0,0.9529,0.5882
