,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[59 43 13 10 11 57 81 52 19 45 33 58 62 53 50  0 24 77 25 22 16 67],0.248,1.0,0.7882,0.5059
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[22 65 19 86 30  7 64 73 53 41 50 37  2 75 31 13 81 21 33 74 54 56],0.2318,1.0,0.7765,0.5765
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[10 77 17 71 22 47 42  4 85 14 74 36 13 52 79 60 23 18 24 16 80 62],0.1367,1.0,0.6353,0.4176
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[ 7 72 44 25 77 19 85 70 75 79 81 54 65 63 46 87  6 10 28 64 14  3],0.3266,1.0,0.8588,0.7059
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 5 44 84 48 31 61 10 34 69 86  3 11 42 41 39 74 59 65 54 38 36 45],0.2367,1.0,0.9647,0.7765
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[69 76 22 31  0 75 63 19 86 28  4 17 65  6 80 85 60 33 48 55 53 51],0.2689,1.0,0.9412,0.7647
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[18 27 11  3 20  2 19 34  1 36  9 44 64 48 54 56 32 60 62 65 81 43],0.45,1.0,0.6235,0.6765
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[38 35 42 75 39 76 10 28 44 24 57 43 85 60 81 27 86 78 36 52 59 66],0.2783,1.0,0.9059,0.5647
8,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 300}",[72 61 16 46 77 66 59 30 26 12 39 37 81 54 80 44 31 50  1 75  5 55],0.3175,1.0,0.8118,0.6
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[22 52 11 19 74 82 18 61  5 87 44 64 40 78 35 86 12 71 33 41 69 59],0.3428,1.0,0.8,0.6235
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[40 11 78 27 82 58  2  8 80 26 29 20  5 41 86 51 22  6 73 30 45 50],0.2283,1.0,0.9176,0.6353
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[12 14 38 33 32 31 48 28 64 21 60 73 85 61 80 74 50 72 68 43 55 46],0.2894,1.0,0.8,0.6706
12,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",[ 6 24  1 37 64 32 82 80 44 48 53 17 13  4 20 62 72 28 51 41 26 25],0.3063,1.0,0.8,0.4941
13,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",[34 60 58 57 25 82 76 27 67  5  3 35 55 31 84 78 62 46 85 70 47 77],0.3114,1.0,0.7471,0.4882
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[48 15 38 59 12 17  6 41 16 72 62 67 68 79 34 46 71 37 57 44 81 35],0.3,1.0,0.8647,0.4353
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[62 76 67 72 33  8  1 87  0 40  9 32 73 17 31 29 75 15 61  5 53  4],0.2564,1.0,0.8941,0.7529
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[ 7 38 39 21 33 75 68 73  6 64 35  4 82 10 27 87 70 56 54 58 86 84],0.3362,1.0,0.8118,0.7176
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[13 72 66 10 52 21 39 50 16 20 48 77 65  7 83  3 38  6 46 30 24 58],0.1803,1.0,0.9059,0.6353
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[83 10 57 23 15 44 69  7 19 26 64 80 49 52 50 67  9 73 12 76 63 40],0.2383,1.0,0.8824,0.8118
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[46 64 45 39 57 54 76 18 41 22 12 29 53 23 61 78 69 49 42 35  6 21],0.2667,1.0,0.9176,0.5412
