,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[78 34 27 21 22  5 53 16 42 68 57  9 10 62 75 48  0 54 70 44 58 47],0.2182,1.0,0.5765,0.9271
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[20 34  1  5 83 65 66 25 73 19 50 17 47 86 64 36  6 63 68 82 75 37],0.2667,1.0,0.7412,0.8958
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[77 82 57 27 34 20 48 44 74 25 28 17 71 78 11  2 18 35 33 64 67  1],0.18,1.0,0.6,0.8438
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[22 13 31 20  6 32 49  8 66 37  7 86 80 79  2 53 64 26 43 35 30 60],0.3174,1.0,0.8941,0.8646
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[37  8 61  6 25 70 24 64 55 34 32 47 71 69 17 72 12 83 85 44 46 79],0.2761,1.0,0.7412,0.8646
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[42 52 12 72 29 69 21 51 82  0 67 13 78 53 59 24 74 64 41 75 46 47],0.18,1.0,0.6765,0.9062
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[85 63 32 79 20 22 16 29  8 72 66 36  1 13 27 62 59 30 47 87 84 21],0.3471,1.0,0.4471,0.75
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[60  2  7 46 22 85 15 57 68 43 10 26 27 62 33 51 20 80 45 21 67 36],0.3168,1.0,0.6118,0.7604
8,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[71 80 18 57 45 76 64 49  7 14 54 77 19 66 30 29 26 85 20  6 16 69],0.15,1.0,0.5941,0.8438
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[16 29 78  7 87 10 41 27  6 43 86 42 21 46 12 71 79 55 68 30 77 75],0.2943,1.0,0.7529,0.875
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[14 22 23 84 38 12 77 20 54  4 43 69 63 57 66 79 40 52 58  3 51 29],0.2881,1.0,0.7059,0.875
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[34 78 26 64 73 68 17 37  6 62 46 74 49 38 21 84 82  3 60 58 33 69],0.3156,1.0,0.5882,1.0
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[37 51 36 31 46 44 76 14 33 17 57 22 43 64 50 60 70 65 34 27 55 16],0.2983,1.0,0.9529,0.9792
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[65 34 30 18 10 52 75  4 41 71  5 74  9 37 81 27 12 80 84 20 43 35],0.2055,1.0,0.5176,0.8542
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[ 8 37 18 45 65 11 49 44 10 73 27 57 16 71  9 63  7 46 24  2 50 75],0.1941,1.0,0.6706,0.8229
15,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",[67 72 59 38 78 53 14 12 68 30 84 62 87 50 64  0 25 28 74 24 76 82],0.3191,1.0,0.6941,0.9583
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[39 84 36 81 66 86 15 70 56 82 72 19  9 47 80 76 52 34 54 77 42 59],0.2714,1.0,0.7647,0.9792
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[ 7 34 77 70 38 49 67 24 56 33 40 27 21 86 79 54 32 71 25 20 26 75],0.26,1.0,0.8824,0.9271
18,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 100}",[81 29 38 54 37 35 32 33 60 84 82 64 76 25 11 55 20 69 53 18 58  5],0.3509,1.0,0.7647,0.875
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[33 79 34 68 48 74 18 32 13 24  4 28 44 75 45 12 82  7 25 78 81 65],0.3082,1.0,0.6353,0.9062
