,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[60 40 58 64 22 11  8 33 54 36 46 16 56  4 51 85 55 12 79 71 53 14],0.5325,1.0,0.7882,0.5417
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[ 8  0 58 52 34  2 35 64  1 17 27 61 49 39 44 67 16 84 51  6 32 83],0.318,1.0,0.5412,0.2292
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[78  8  6 25 41 77 21 26  9 35 60 48 20 16 66 45 39 87 55 84 15 65],0.3709,1.0,0.9176,0.6771
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[35 79 18  2 25 10  1 32 58 16 62 87 29  3 27  4 22 28 55 71 59 52],0.1614,1.0,0.8588,0.6198
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[82  0 49 46 50 67 23 58 69 30 16 17 35 63 70 51 65 27  2 77 21 87],0.2181,1.0,0.7529,0.5625
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[18 24 53 48 31 44 26 66 73  7 34 80  8 61 77 22 86 14 57 19 32 68],0.32,1.0,0.9176,0.6719
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[68 33 19 67  0 34 57 66 45 58  5  7 15 62 56  1 22 36 18 74 46 73],0.5249,1.0,0.6941,0.4062
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[24 23 50 77 11 60 52  0 17 80  4 18 25 64 86 41 14 30 29 85 10 72],0.15,1.0,0.7353,0.5833
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[40  5 56 33 86 58 68 63 78 81  3 36 26 35 19 82 28 10 31 57 50 77],0.418,1.0,0.9412,0.6354
9,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[62 82 15 75 57 53 24 67 31 84 30 63 28 87  6 26 76 29 25 14 85 48],0.2952,1.0,0.5412,0.4167
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[12 48 23  7 62 27 10 79 42 68 82 33 29  5 40 17 80 14 58 57 53  2],0.5106,1.0,0.8824,0.6042
11,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 500}",[86 37 47 74 84 26 48 19 54 27 49 18 45 71 67 62 72 38 55 68 20 64],0.1711,1.0,0.5294,0.3646
12,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 700}",[59 73 75 23  4  6 44 48 56  8 41 21  5 72 19  3  0 36 67 64 50 11],0.201,1.0,0.5294,0.4583
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[51 40 82 27 66 18 84 20 23 26 28 78 64 80 53 85 68 55 17 12 71 76],0.2646,1.0,0.9412,0.7708
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[62 30 47 56 27 66 74 72 87  2 24 67  1 37 33 53 81  4 57 12 48 31],0.366,1.0,0.7,0.5156
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[71 31 74 19 45 55 85 13 41 34 78 65 84 18  7 42  8 83 57 17 21 70],0.24,1.0,0.8059,0.5833
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[71 30 29 67 14 85 68 22  0 56 23 69 26 66 59  1  7  2 60 28 44 53],0.4616,1.0,0.6471,0.6354
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[83 58 35 50 31 33 62 74 40 21 19  2 34 82 52 18 39  9 63 15 23 61],0.3122,1.0,0.8235,0.5
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[76 34 37 30 11 72 36 77 10 62  8 85  3 32 18 21 51 13 59 69 67 19],0.1783,1.0,0.6588,0.4062
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[78  9 75  8 22 38 13 46 18 69 61 54 48 40 27 33 60 39 70 23 66 19],0.188,1.0,0.8941,0.7292
