,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[46 44 27 74 71 64 84 17  2  7 81 61 11 83 26 20 60 69 16 38 33  1],0.2864,1.0,0.7765,0.9792
1,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[29  2 41 45 34 57 64  1 14 39 23 44 54 31 74 36 59 71 56  7 43 24],0.2526,1.0,0.7647,0.8958
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[21  0 44 64 31  8  1 60 46 13 82 78 38 76 71 27 56 50 43 16 37 51],0.2605,1.0,0.9176,0.9583
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[19 27 41 33 14 55 22 79 78 38 76  2 69 68 86 11 72 62 59 53 26 49],0.426,1.0,0.7765,0.9688
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[56 61 33 55 53 26 27 48  4 70 67 17  9 73 72 34 45 75  8  2  6 87],0.2478,1.0,0.9176,0.9375
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[ 6 59 32 25 68 52 51  7  8 42 43 34 83 58 26 19 75 80 17 38 63 45],0.255,1.0,0.8353,0.9479
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[64 71 53 66 23 24  9 41 55 38 47 25 49 44 80 84 74 15 46 20 21 39],0.22,1.0,0.8882,0.9375
7,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 300}",[50 46 49 31 58 17 15 65 51 48 57 41 24 71  7 63 23 42  9 10 21 53],0.224,1.0,0.8235,0.8021
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[19 52 41 43  3 29 24 51 49 55 47 66  9 39 28 21 67 69 30 63  6 56],0.3954,1.0,0.6471,0.7812
9,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 300}",[86 27 16 52 18 39 63 80 43 50 34  2 26 56 75 28 59 37 83 68 45 38],0.3641,1.0,0.6706,0.7917
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[36 42 59  5 60 25  7 62 34 47 45 82 73 68 41 87 23 80 54 63 37 30],0.1257,1.0,0.6588,0.9167
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[71 63 12 78 15 87 47 50 48 21 24 36 86 83  5 51 38 44 27  0 57 81],0.2438,1.0,0.9294,0.9896
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[41 78 54 77  4 17 43 82 27 81 58  1 44 59 53 68  2 22 52 65 38 18],0.2612,1.0,0.7765,1.0
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[62 51 48 36 44 82 56 23  7 73 57 13 83 17 66 53 47 12 76 43 33 81],0.3885,1.0,0.6824,0.8542
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 7 60 30 26 69 35 73  9 74 21 85 76 87 43 28 79  3 42 36 59 57 81],0.2167,1.0,0.7412,0.9479
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[69 60 48 21 28 20 12 56 70 81 51  9 52 47 30 11 65 40 43 64 22 10],0.3054,1.0,0.7765,0.9271
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[86 27 16 52 18 39 63 80 43 50 34  2 26 56 75 28 59 37 83 68 45 38],0.2071,1.0,0.8471,0.9167
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[78  8  6 25 41 75 21 26  9 35 58 48 20 16 64 45 39 87 68 84 15 63],0.2436,1.0,0.7176,0.8542
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[35 79 18  2 25 10  1 32 56 16 60 87 29  3 27  4 22 28 68 66 57 52],0.3546,1.0,0.8,0.9479
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[83  0 49 46 50 65 23 56 72 30 16 17 35 61 73 51 63 27  2 75 21 87],0.2074,1.0,0.7176,0.7708
