,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[56 32 71  3 10  0 82 74 41 38 73 20 57 24 62 75 67 44 77 21 43 19],0.2336,1.0,0.7059,0.8471
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[20 33 19 71 12 18 67 27 84 83 35 58 64 34 70 81 49  6 39 74 47 14],0.25,1.0,0.8765,0.7882
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[10 21 50 33  3 58 46  6 65 84 24  8 57 36 62 52 44 42 30 37 28 27],0.3931,1.0,0.7765,0.8706
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[56 32 71  3 10  0 82 74 41 38 73 20 57 24 62 75 67 44 77 21 43 19],0.2336,1.0,0.7059,0.8471
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[20 33 19 71 12 18 67 27 84 83 35 58 64 34 70 81 49  6 39 74 47 14],0.25,1.0,0.8765,0.7882
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[10 21 50 33  3 58 46  6 65 84 24  8 57 36 62 52 44 42 30 37 28 27],0.3931,1.0,0.7765,0.8706
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[56 32 71  3 10  0 82 74 41 38 73 20 57 24 62 75 67 44 77 21 43 19],0.2336,1.0,0.7059,0.8471
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[20 33 19 71 12 18 67 27 84 83 35 58 64 34 70 81 49  6 39 74 47 14],0.25,1.0,0.8765,0.7882
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[10 21 50 33  3 58 46  6 65 84 24  8 57 36 62 52 44 42 30 37 28 27],0.3931,1.0,0.7765,0.8706
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[56 32 71  3 10  0 82 74 41 38 73 20 57 24 62 75 67 44 77 21 43 19],0.2336,1.0,0.7059,0.8471
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[20 33 19 71 12 18 67 27 84 83 35 58 64 34 70 81 49  6 39 74 47 14],0.25,1.0,0.8765,0.7882
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[10 21 50 33  3 58 46  6 65 84 24  8 57 36 62 52 44 42 30 37 28 27],0.3931,1.0,0.7765,0.8706
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[56 32 71  3 10  0 82 74 41 38 73 20 57 24 62 75 67 44 77 21 43 19],0.2336,1.0,0.7059,0.8471
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[20 33 19 71 12 18 67 27 84 83 35 58 64 34 70 81 49  6 39 74 47 14],0.25,1.0,0.8765,0.7882
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[10 21 50 33  3 58 46  6 65 84 24  8 57 36 62 52 44 42 30 37 28 27],0.3931,1.0,0.7765,0.8706
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[56 32 71  3 10  0 82 74 41 38 73 20 57 24 62 75 67 44 77 21 43 19],0.2336,1.0,0.7059,0.8471
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[20 33 19 71 12 18 67 27 84 83 35 58 64 34 70 81 49  6 39 74 47 14],0.25,1.0,0.8765,0.7882
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[10 21 50 33  3 58 46  6 65 84 24  8 57 36 62 52 44 42 30 37 28 27],0.3931,1.0,0.7765,0.8706
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[56 32 71  3 10  0 82 74 41 38 73 20 57 24 62 75 67 44 77 21 43 19],0.2336,1.0,0.7059,0.8471
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[20 33 19 71 12 18 67 27 84 83 35 58 64 34 70 81 49  6 39 74 47 14],0.25,1.0,0.8765,0.7882
