0,Model_0,Model_1,Model_2,Average
GO:0009378,0.00019027548948737357,0.0,0.00019556731960099574,0.00012861426969612309
GO:1990328,0.0,0.0,0.0,0.0
GO:0046316,0.0,0.0,0.0,0.0
GO:0000118,0.0,0.0,0.0,0.0
GO:0008526,0.0003350603609885577,0.0,0.0003127040113299931,0.00021592145743951695
GO:0008787,0.0005009829157513747,0.0,0.00010222072156134055,0.0002010678791042384
GO:0031578,0.0,0.0,0.0,0.0
GO:0071788,0.0,0.0,0.0,0.0
GO:0008935,0.00042749276100273876,0.0,0.0006174510271971705,0.0003483145960666364
GO:0006493,0.0,0.0,1.439047487615367e-05,4.79682495871789e-06
GO:0070056,0.0,0.0,0.0,0.0
GO:0050140,0.00017830270150139322,0.0,8.933890218170969e-05,8.921386789436763e-05
GO:0070025,0.0,0.0,0.0,0.0
GO:0050343,0.0,0.0,0.00040747624141072034,0.00013582541380357345
GO:0006067,0.0,0.0,0.0,0.0
GO:0106029,0.0,0.0,0.0,0.0
GO:0052692,6.189976546765385e-05,0.0,2.6109395816626617e-05,2.9336387094760154e-05
GO:0016120,0.0,0.0,0.0,0.0
GO:0000121,0.0,0.0,0.0,0.0
GO:1905117,0.0,0.0,0.0,0.0
GO:1901799,0.0,0.0,0.0,0.0
GO:0018729,7.569189292449208e-05,0.0,0.0,2.5230630974830694e-05
GO:0000821,0.0,0.0,0.0,0.0
GO:0004133,8.458571979487132e-05,0.0,0.00031801241739504984,0.00013419937906330705
GO:0006646,0.00018595444864708395,0.0027251977994835223,0.00012804460668041246,0.0010130656182703395
GO:0003884,0.0,0.0,0.0,0.0
GO:0000922,0.0,0.0,0.0,0.0
GO:0046208,0.0,0.0,0.0,0.0
GO:0052832,0.0007550942038795308,0.0,0.00030612488503832904,0.00035373969630595327
GO:0006879,0.000247441222355627,0.0,0.0003558601955073018,0.00020110047262097627
GO:0071453,0.0,0.0,0.0,0.0
GO:0015891,0.0003720339403485522,0.0,0.0007727816484093459,0.0003816051962526327
GO:0031468,0.0,0.0,0.0,0.0
GO:0009390,0.0,0.0,0.0,0.0
GO:0015140,0.0,0.0,0.0,0.0
GO:0055130,0.0005453958475101237,0.0,0.00039338952515367295,0.0003129284575545989
GO:0006213,0.0003091981819295376,0.0,0.0,0.00010306606064317919
GO:0004530,0.0005757440752820489,0.0,0.0,0.00019191469176068298
GO:0008933,2.9398645051849796e-06,0.0,0.0,9.799548350616599e-07
GO:0051026,0.0,0.0,0.0,0.0
GO:0019062,0.00018006126734002606,0.0,0.0006616484684318515,0.0002805699119239592
GO:0004252,0.0,0.0,0.0007796429204844176,0.00025988097349480586
GO:0034628,0.00016644839810446235,0.0,0.0,5.5482799368154116e-05
GO:1904669,0.0,0.0,0.0,0.0
GO:0016297,0.0003991469871039716,0.0,0.0005511290728841598,0.00031675868666271046
GO:0052665,0.00044480568459398284,0.0,0.0,0.0001482685615313276
GO:0033699,0.0,0.0,0.0,0.0
GO:0030123,0.0,0.0,0.00019493566983749803,6.497855661249934e-05
GO:1901682,0.0,0.0,0.00028185357730404266,9.395119243468088e-05
GO:0007062,0.0,3.18698812520095e-05,0.0,1.0623293750669834e-05
GO:1902208,0.0,0.0,2.200578705019447e-19,7.335262350064824e-20
GO:0000900,0.0,0.0,0.0,0.0
GO:0045002,0.0,0.0,0.0,0.0
GO:0051058,0.0,0.0,0.0,0.0
GO:0009313,0.0004907292690433017,0.0,0.0,0.0001635764230144339
GO:0000210,1.1507882639207985e-05,0.0,0.0002044222707263697,7.19767177885259e-05
GO:0000019,0.0,0.0,0.0,0.0
