,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[65 63 42 51 76 71 13 54 39 23 55 44 17 15 66  0 36 29 60  9 78 22],0.24,1.0,0.8706,0.6588
1,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 700}",[48 62  8 75 38 68 21 69 35 46 59 64 52 80 33 17 43 86 83 16  0 24],0.4391,1.0,0.9176,0.6
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[ 5 34 47 84 53 41 48 52 23 58 28 37 43 66  0 80  9 85 62 56 40  1],0.112,1.0,0.7647,0.5176
