,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[ 6 52  8 56 13 54 74 53 59 46 12 67 77 58  1 44 34 25 21 71 33 43],0.1994,1.0,0.7765,0.4583
1,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 300}",[ 5 71 39  3 79 14 16 10 36 60 21 75 40  9 15 61 44 33 41  2 24 52],0.2832,1.0,0.6588,0.5833
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[54 53 34 55 56 66 16 79 45 41 44 32 62 27 48  6 61  5 70 15 63 82],0.2752,1.0,0.8706,0.4062
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[58  3 28 57 30 55 13 50 26 18 70 35 77 19 10 60  8 38 65 74 21 39],0.3333,1.0,0.9412,0.5938
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[79  1  4  6  3 65 42 40 19 20 57 54  8 23 55 58 24 60 39 22 68 18],0.4292,1.0,0.8941,0.625
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[56 41 63  2  9 22 73 65 26 77 37  1 85 18  5 79 74 31 38 83 23 52],0.3138,1.0,0.8353,0.8854
6,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[50 46 49 31 60 17 15 67 51 48 59 41 24 75  7 65 23 42  9 10 21 53],0.18,1.0,0.6412,0.5
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[ 7 71  9 45 15 35 30 19 76 80 64 36 29 58 59  8 28 48 87  0 85 86],0.24,1.0,0.8118,0.6406
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[74 19 27 59 79 81  1 83 62 24 52 13 87 17 21 40 26 41 72  8 37 31],0.218,1.0,0.7294,0.4583
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[39 25 27 38 18 72 52 48 75 54 83  7 34 20 68 80 61 43 85 29  2 37],0.2253,1.0,0.7647,0.6771
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[45 54 69 58 59 43 11 75 60 17 34 49 77 36 35  5 39 33  0 52  7 85],0.3014,1.0,0.5059,0.6979
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[55 64 66 16  4 13 23 63 14 85 60  2 31 69 15 32 78 27 44  5 51 73],0.3439,1.0,0.7882,0.5938
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[52  3 76 58 74 46 45 63 56 41 84 85 71 59 49 36 57 33 19 10 86 42],0.3136,1.0,0.8,0.7396
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[43 16  1 34 80  3 37 86  4 67 29 71 81 20  2 39 83 21 10 33 25 63],0.2811,1.0,0.9118,0.6042
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[38 29 10 70 17 77 14 54 26 36 71 51 24 79  4 63 33 86 83 50 82 69],0.2833,1.0,0.9647,0.7188
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[68 45 54  3 67 37 20 70 18 11 44 80 31 32 78 35 71 39  1 29 25 61],0.4208,1.0,0.8,0.5417
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[ 6 31 41 18 83 62 66 17 44 82 87 48 38 24 79 52 56  9 40 30 54 67],0.29,1.0,0.7176,0.4844
17,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[72 67 85 56 73 64 47 26 82 41 40 37  6 48 14 27 71 87 59 16 22 23],0.274,1.0,0.6,0.4375
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[17 26 36 12 11 76 47 15 48 70 64 54 21  5 61 59 50  8 75 82 60 29],0.1373,1.0,0.4824,0.4688
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[28 58 14 11 77 84 22 51 72 43  2 65 27 26 57 29 10 25 47  1 74 52],0.3895,1.0,1.0,0.7812
