,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[26 14 11 86 87 46 74 36 61 69 28 20 60 52 30  2 64 10 19 53 48 79],0.2581,1.0,0.8471,0.6353
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[62 73  5 17 32  3 50  7  8 86 56 64 69 77 55 10 83 39 52 84 68 18],0.3256,1.0,0.7529,0.5765
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[ 7 42  4 81 54  1 43 45 15 83 36 12  0 62 11 66  3 75 72 37 50  6],0.2014,1.0,0.7941,0.5529
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[77 50 15 49 81 46 84 74 13 72 26  8 11 52  2 48 73  4 23 67 31 44],0.264,1.0,0.8588,0.5059
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[ 5 11 28  6 56 37 20 58  8 61 25 60 64 85 10 62 42 83 74 54  1 31],0.2895,1.0,0.8824,0.7412
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[30  0 60 35 42 13  1 81 62 18 79  5 51 77 52 38 22 66 59 21 50 67],0.4327,1.0,0.7882,0.6118
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[20 67 46 44 14 60 63 62 17 73 34  4 82 41 83 18 29 33 64 79  1 78],0.2688,1.0,0.7529,0.5765
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[13 50 26 61 37 16 65 60 15 75 38  9 21 52 14 29 11 62 33  2 66 53],0.2758,1.0,0.6941,0.6471
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[37 52  1  6 49 16 75 63 66 83 34 17 10 48 76 26 38 77  0 42 69 51],0.2725,1.0,0.7529,0.6235
9,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 500}",[28 35 26 59 36 86 11 85 34 75 21 47 66 24 22  4 63 57 45 65 61 76],0.3185,1.0,0.7529,0.7882
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[37 34 18 77  1 32 81 87 47 84 61 78 13 56 33 76 38 58  0  8 20  9],0.3559,1.0,0.6,0.8471
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[75 77 49 46 80 62 15  9 73 57 85 56  4 35 16 44 23 65 78 27 87  3],0.2744,1.0,0.6941,0.7529
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[13 78 42 50 46 31 66 11 35 25 29 68 40 75 33 61 53 47 72 55 67  3],0.2033,1.0,0.8,0.6882
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[12 46 58  6  7 73 85  0  8 52  3 80 47 84 71 77  1 59 56 39 17 44],0.1664,1.0,0.7176,0.6588
14,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",[78 34 84 38 39 69 66 40 32 56 87 19 22 65 50 48 55 23 35 75 74 12],0.3214,1.0,0.7765,0.7529
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[77 14 75 13 42 61 22  0 83 21 41 44  5 55 67 72 35 23 84 51 26 16],0.317,1.0,0.8235,0.7176
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[ 9 75 12  0 58 72 19 31 51 79 87 24 66 70 47 33 84 39 77 86 17 41],0.36,1.0,0.6588,0.8353
17,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[47 51 85 26 25 41 56 64 52 73 34 72 39 69 67 62  4 19 50 32 36 81],0.2,1.0,0.5118,0.5882
18,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[30 54 45 47 78 82 24  4 86 32 58 77 50 79 71 40  8 28 20 25 17 49],0.3,1.0,0.6529,0.8
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[15 66 62 24 54 11 46 49  9 32 61 14 78  7 19 10 48 27 63 44 81 13],0.2255,1.0,0.6824,0.6588
