,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[27 81 75 83  3  8  6 48  7 72 31 68 40 60 42  4  0 20 65 23 17 74],0.2231,1.0,0.8471,0.7647
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[49 66 21 62 87 69  4 45 48 20 59  2 54 18 86 67 72 58 65 34 23 16],0.1643,1.0,0.7941,0.6588
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",[80 30  9 40 65 50 55  8 20 82 44 66 26 64 34 78 71 62 70 11 19 32],0.3642,1.0,0.5765,0.6
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[18 78 65 55 63 79 39  5 72 81 60 11 19 56 27 25 43 46 21 23 38 50],0.2386,1.0,0.7765,0.6941
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[10 17 28 31 46 37 30 50 47 42 35  1 84  2 21 56 11 13 59  7 70 54],0.19,1.0,0.8706,0.7765
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[67 51 16 55 35 73 15 57 48 34 45 32 13 22 79 23  9 53 44 20 14 26],0.3499,1.0,0.9059,0.7882
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 700}",[86 49  3  5 82 81  1 21 63  6 43 26 57 38 23 30 62 51 34 20 76 39],0.2966,1.0,0.9059,0.7059
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[74 43 45 32 28 25 82 78 37 41 29 79 75 59 44 66 52 67 11  4 19 18],0.3436,1.0,0.7529,0.8706
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[12 41 76 65 79  3 23 50 21 71 27 84 57 14 66 31 49 16 35 54 22 70],0.1955,1.0,0.7176,0.8118
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 700}",[13 77 44 33 29 39  8  3  2 67 83 45  7  9 51 16 10  1 84 73 57 15],0.2764,1.0,0.8118,0.7059
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[62 75 32 50  8 11 19 24 25 21  7 15 23 71 58 55  4 27 44  3 64 29],0.2866,1.0,0.7647,0.7647
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[31 45 38 58 79 15 78 52 62 18 83 46 64 27 76 60 12 59 47 28 35 11],0.3,1.0,0.7,0.7412
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[21 79  4 26 33 72 24 41  0  6 40 81  3 83 75 86 23 52 68  7 14 59],0.2969,1.0,0.8588,0.8
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[ 6 19 49 32 39 59 23 50 58 26  7 87  4 51 65 34  9 83 18 36 12 77],0.2174,1.0,0.9176,0.7647
14,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",[26 42 87 57 80 76 28 31 34 86  1  0 49 63  7 23 18 68 13 24 33 48],0.3748,1.0,0.9294,0.7412
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[57 77  3 24 61 37 27  0 28 85 73 18  4  1 65 80 50 54 39 12 78 83],0.3285,1.0,0.7176,0.7294
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[20 43 67 52 14 15 57 46 28  7 80 76 36  9 55 19 29 81 44 11 47 25],0.3,1.0,0.9588,0.7529
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[36 43 48 65 17  4 42 13 58 31 84 87 19 21 74 26 10 16  7 34 64  1],0.1993,1.0,0.8118,0.6824
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[78 74 70 45 44 82 57 29 50  4 55 59 34 65 24 39 19  8 67 46 11 71],0.2819,1.0,0.6,0.7412
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[51  7  9 75 48 72 59 26  2 28 78  6 85 11 86 69 40 64 55 14 87 45],0.3672,1.0,0.9412,0.7529
