0,Model_0,Model_1,Model_2,Model_3,Model_4,Average
GO:0102340,0.0,0.0,0.0,0.0,0.0,0.0
GO:0007229,0.00018061172886444822,0.0,0.004286847645530848,0.0,0.0008878502582120796,0.0010710619265214753
GO:0007166,0.0,0.0,0.0,0.0,0.0,0.0
GO:0047975,0.0008071244891448914,0.0,0.0,0.0,0.0,0.00016142489782897828
GO:0016593,0.0,0.0,0.0,0.0,0.0,0.0
GO:0034968,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006415,8.194787498856543e-05,0.0,0.0,0.0,0.0,1.6389574997713087e-05
GO:0045921,0.0,0.0,0.0,0.0,0.0,0.0
GO:0042791,0.0,0.0,0.0,0.0,0.0,0.0
GO:1903934,0.0,0.0,0.0,0.0,0.0,0.0
GO:0017176,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030643,0.0,0.0,0.0,0.0,0.0,0.0
GO:0032432,0.0,0.0,0.0,0.0,0.0,0.0
GO:0009325,0.0005943689624396341,0.0,0.0,0.0,0.0,0.00011887379248792683
GO:0015046,0.0,0.0,0.0,0.0,0.0,0.0
GO:0004803,0.0,0.0,0.0,0.0,0.0,0.0
GO:0033229,0.0,0.0,0.0,0.0,0.0,0.0
GO:0018850,5.022906662250933e-05,0.0,0.0,0.0,0.0,1.0045813324501866e-05
GO:0001682,0.00011550874436434832,0.0,0.0,0.0,0.0,2.3101748872869665e-05
GO:0031116,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043631,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008481,0.0,0.0,0.0,0.0,0.0,0.0
GO:0033389,0.0,0.0,0.0,0.0,0.0,0.0
GO:0102121,0.0010263877739319954,0.00040325394218861387,0.0,0.0,3.4407699480547364e-19,0.00028592834322412194
GO:0005355,1.8450849314008563e-20,0.002327648352458402,0.0013165443181058702,0.0,0.0,0.0007288385341128545
GO:0004078,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005749,0.0,0.0,0.0,0.0,0.0,0.0
GO:0034368,0.0,0.0,0.0,0.0,0.0,0.0
GO:0031303,0.0,0.0,0.0,0.0,0.0,0.0
GO:0071942,0.0,0.0,0.0,0.0,0.0,0.0
GO:0052596,0.0,0.0,0.0,0.0,0.0,0.0
