,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[66 17 67 50 25 34 14 61 80 32  3  7  1  0 65 79 83 75 45 56 54  4],0.3843,1.0,0.6353,0.8824
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[79 55 26 18  5 82  4 33 28 74 69 59 17 75 10 34  9 48 14  7 77 54],0.1686,1.0,0.7765,0.8176
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[20 66 50 60 81 83 24 22 10 43 25 14 44 73 52  6  1 78  7 40 31  2],0.3222,1.0,0.9059,0.7529
3,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[81  6 36 83  9 31 52 32 76 35 72 53 51 62 48  8 63 21 24 43 87 56],0.27,1.0,0.6588,0.5588
4,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 900}",[70 18 35 81 55 53 60 50 79 78 56 13 17 30 52 42 85 41 32 87 21 69],0.2704,1.0,0.9176,0.7529
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[10 30 72  5 75 76 85 15 36 82 17 65 68 61 13 79 81 63 40 48  4 83],0.2952,1.0,0.7882,0.7176
6,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 900}",[57 26 39 48 53 12 63 10 80 29 40 77 20 83 11 84 22 87 32 16 17 42],0.3067,1.0,0.7765,0.8176
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[20 66 55 33 63 25 64 52 35  2 82 38 71  7 10 49 39 61 42 27 47 31],0.1744,1.0,0.6941,0.6235
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[76 57 44 86 72 65 84 42  9 16 30 27  7 31 52 47  2 66 29  5 40 75],0.3813,1.0,0.7882,0.7176
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[ 3 17 24 77  2 82 72 71 43 37 57 85 83 65 68 46 48 47 62 12 23 79],0.4717,1.0,0.7647,0.7176
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",[49 61 82 47 87  8 43 13 72 70 56 40  6 23 60 83 27 55 42 29 37 46],0.3454,1.0,0.6588,0.6941
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[31 62 23 63 85 14 87 27 61 81 16  1 20  5 45 13 66 32 26 82 59 38],0.3146,1.0,0.7294,0.8706
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[52 41 78 28 60 70 84 20 53 45 71 25 83 27 10 54 12 86  0 26 30 74],0.16,1.0,0.6647,0.7588
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[ 3 20 36  2 16 72 58 68 30 35 83 22 63 43 59 45 84  1  5 28 54 61],0.2894,1.0,0.7529,0.7176
14,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 500}",[21 40 32 60  7 82 62 54 64 80  4  5  3 13 44 41 45 25 75 11  1 49],0.3173,1.0,0.6118,0.7059
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[13 44 61 59 54 60 24  7 20 15 56 68 33 84 16 72 38 63 48 75 55 40],0.25,1.0,0.8412,0.9294
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[82 51 63 46 72 81 29 78  6 69 31 22 53 49  9 45 84 44 56 19  7  4],0.2067,1.0,0.5765,0.8235
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[61 72  6 19 32  4 48  7  8 84 53 63 75 77 51 11 86 37 58 81 67 20],0.3093,1.0,0.8,0.7059
18,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 700}",[ 9 56  1 77 67 18 70 39  8 78 72 38 57 55 42 51 16 32 27 10 83  0],0.2436,1.0,0.7647,0.8
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[80 28 77 59 40 18 35 76 11 64 47 70 63  1 14 23  5 57 26 71  6 17],0.2644,1.0,0.8706,0.8059
