,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[75  6 48 19 17 66 81 58 50 47 40 55 22 38 14 84 45 36 15 29 69 72],0.2123,1.0,0.6824,0.7176
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[21 32 46 16 15 79 60 19 62 74 12 68 27  6  9 61 64 11 37 82 85 35],0.4046,1.0,0.7647,0.8118
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 900}",[61 64 16 47 77 67 62 29 24  9 39 35 80 55 79 45 37 50  1 71  6 56],0.2356,1.0,0.8706,0.8118
