0,Model_0,Model_1,Model_2,Model_3,Model_4,Average
GO:0102340,0.0,0.0,0.0,0.0,0.0,0.0
GO:0007229,0.0008221641761161977,0.0,0.0,0.0008221641761161977,0.0,0.00032886567044647906
GO:0007166,0.0,0.0,0.0,0.0,0.0,0.0
GO:0047975,0.0002718241690367972,0.0,0.00010203911080374964,0.0002718241690367972,0.0,0.0001291374897754688
GO:0016593,0.0,0.0,0.0,0.0,0.0,0.0
GO:0034968,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006415,4.2207895746682354e-19,0.0,0.0,4.2207895746682354e-19,0.0,1.6883158298672943e-19
GO:0045921,0.0,0.0,0.0,0.0,0.0,0.0
GO:0042791,0.0,0.0,0.0,0.0,0.0,0.0
GO:1903934,0.0,0.0,0.0,0.0,0.0,0.0
GO:0017176,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030643,0.0,0.0,0.0,0.0,0.0,0.0
GO:0032432,4.9183200607489794e-05,0.0,0.0,4.9183200607489794e-05,0.0,1.9673280242995916e-05
GO:0009325,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015046,0.0,0.0,0.0,0.0,0.0,0.0
GO:0004803,0.0005843747599589535,0.0,0.0,0.0005843747599589535,0.0,0.0002337499039835814
GO:0033229,0.0,0.0,0.0,0.0,0.0,0.0
GO:0018850,0.0,0.0,0.0,0.0,0.0,0.0
GO:0001682,0.0,0.0,0.00033659587017523663,0.0,0.0,6.731917403504733e-05
GO:0031116,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043631,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008481,0.0,0.0,0.0,0.0,0.0,0.0
GO:0033389,0.0,0.0,0.0,0.0,0.0,0.0
GO:0102121,0.0,0.0018097883418661158,0.0,0.0,0.0018097883418661158,0.0007239153367464464
GO:0005355,0.0,0.0017571734459674538,7.559975533821704e-05,0.0,0.0017571734459674538,0.000717989329454625
GO:0004078,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005749,0.0,0.0,0.0,0.0,0.0,0.0
GO:0034368,0.0,0.0,0.00019421650969124338,0.0,0.0,3.8843301938248676e-05
GO:0031303,0.0,0.0,0.0,0.0,0.0,0.0
GO:0071942,0.0,0.0,0.0,0.0,0.0,0.0
GO:0052596,0.0,0.0,0.0,0.0,0.0,0.0
GO:0106262,0.0,0.0,0.0,0.0,0.0,0.0
GO:0000290,0.0,0.0,0.0,0.0,0.0,0.0
GO:0009236,0.0,0.0,0.00011873734401623283,0.0,0.0,2.3747468803246567e-05
GO:0015934,3.62162972988121e-19,0.0,0.0002350093404237989,3.62162972988121e-19,0.0,4.7001868084759924e-05
GO:0015846,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008796,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043041,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030136,0.0,0.0,0.0,0.0,0.0,0.0
GO:0000150,0.0003845082574346072,0.0,0.0,0.0003845082574346072,0.0,0.0001538033029738429
GO:0030133,0.0,0.0,0.0,0.0,0.0,0.0
GO:0061672,0.0,0.0,0.0,0.0,0.0,0.0
GO:1900051,0.0,0.0,0.0,0.0,0.0,0.0
GO:0103045,0.0,0.0,0.0007604511980548085,0.0,0.0,0.0001520902396109617
GO:0005102,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005615,0.0,0.0,0.0,0.0,0.0,0.0
GO:0046210,0.0,0.0,0.0,0.0,0.0,0.0
GO:0061911,0.0,0.0,0.0,0.0,0.0,0.0
GO:0010867,0.00018829418559876784,0.0,9.0313815767301e-19,0.00018829418559876784,0.0,7.531767423950731e-05
GO:0003938,0.0005159526842612514,0.002935339755479762,0.0,0.0005159526842612514,0.002935339755479762,0.0013805169758964054
GO:1990838,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015293,0.0,0.0,2.414724686384834e-18,0.0,0.0,4.829449372769668e-19
GO:0001927,0.0,0.0,8.961026428139578e-19,0.0,0.0,1.7922052856279157e-19
GO:0044260,0.0,0.0,0.0,0.0,0.0,0.0
GO:0055105,0.0,0.0,0.0,0.0,0.0,0.0
GO:0110001,0.00024389347888371363,0.0,0.0007457016033581213,0.00024389347888371363,0.0,0.00024669771222510966
GO:0045159,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015483,1.0491888747568367e-19,0.0,0.0,1.0491888747568367e-19,0.0,4.196755499027347e-20
GO:0007091,0.0,0.0,0.0,0.0,0.0,0.0
