,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[15 51 80 33  9 44 47 46 12 69 25 62 79 30 65 13 83 24 48 82  1 81],0.2869,1.0,0.7176,0.9167
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[60 71 33 70 43 26  2 34 38 53 78  4  8 35 74 49  9 83  6 87 48 17],0.3537,1.0,0.8824,0.8889
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[69 58 17 43  7 42 82 32  8 38 51  6 85 57 26 19 70 78 34 45 62 25],0.28,1.0,0.5059,0.7639
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[63 79 53 65 23 44 46 24 75 36 21 41 38  9 78 86 25 49 20 15 73 47],0.2266,1.0,0.6588,0.8194
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[46 41 49 53 56 17 42 62 21  9 78 10 24 61  7 75 48 50 15 51 31 47],0.1571,1.0,0.5294,0.7917
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[19 52 41 43  3 29 24 51 49 54 47 65  9 39 28 21 55 76 30 62  6 56],0.3345,1.0,0.7294,0.8056
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[34 86  2 26 50 77 62 80 43 38 19 52 21 78 70 28 58 37 18 27 16 45],0.4282,1.0,0.6941,0.8611
7,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[61 34 45 23  5 85 30 18 76 81 87 25  4 71 41 83 47 80 37 44 54 36],0.3,1.0,0.8235,0.7431
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[44 36 15 48 51 24 60 12 84 76 27 87 56 21 50 38 83 67 61  0 47  5],0.21,1.0,0.7529,0.9028
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[27 60 18 23  1 38 68 43 52 64 71 86 82 83 53 69  2  4 16 80  7 17],0.342,1.0,0.7647,0.8472
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[61 53 43  7 74 84 55 44 51 73 79 13 12 77 65 33 47 23 36 17 48 83],0.2976,1.0,0.7647,0.9028
11,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[35 68 75 46 30  7 80 69 42 84  3 36 87 67 58 21 51 56 28 85  9 43],0.2833,1.0,0.5647,0.8333
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[72 55 48 21 28 20 12 65 73 70 51  9 52 47 30 11 58 40 43 78 22 10],0.2457,1.0,0.7765,0.8889
13,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",[34 86  2 26 50 77 62 80 43 38 19 52 21 78 70 28 58 37 18 27 16 45],0.3537,1.0,0.8588,0.8333
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[71 26  6 25 41 70 21 86  9 35 57 48 20 16 79 45  8 39 69 85 15 62],0.3234,1.0,0.8353,0.9028
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[18  4 27 58 16 40 52 61 29 78 35 25  1 28 75  3 10  2 69 32 70 22],0.3144,1.0,0.9059,0.9167
16,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 300}",[49 35 21 30 11 62  0 64 16 23 51 76 50 60 27 17 70  2 46 58 74 85],0.3312,1.0,0.8824,0.875
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[22 48 32 37 17 24 31 56 26  7 44 60 81 65 58 14 86 35 66 19  8 73],0.112,1.0,0.4706,0.7361
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[73 15 19 75 28 34 65 59 45 66  5  7  1 62 33 69 22 36 18  0 46 77],0.2313,1.0,0.7412,0.9028
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[24 23 50 60 11 64 52  0 17 66  4 18 25 61 86 41 14 30 29 85 10 56],0.242,1.0,0.7882,0.8056
