0,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Average
GO:0009378,0.0,0.0,0.0,0.0,0.0007296426341815532,0.0,2.590600522668216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003273555612354352,0.0,0.0,0.0,0.0,5.4145210032183524e-05
GO:1990328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0046316,1.6380633831331083e-18,0.0,7.832791712407719e-05,0.0,0.0,0.0,0.00015386013893589964,0.0,0.0,0.0,0.0,0.0011325726326250974,0.0,0.0,0.00019080132518454592,0.0003631174058813582,0.0,0.0008029105842239952,0.0006860314664269806,0.0,0.00017038107352009777
GO:0000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0896888844061304e-18,0.0,6.095342095981246e-19,8.496115470021275e-20
GO:0008526,0.0,0.0,0.0,0.0,0.0,0.0,2.536214001105346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.268107000552673e-06
GO:0008787,0.0,0.0,0.0009205814188695193,0.0014242449824813424,0.0004964718871429849,0.0010872485292922833,0.001452405513238557,0.0021791565533980546,0.003101964764331071,0.0022703020859729498,0.0014690210430099832,0.0,0.0,0.005469462873006865,0.0,0.00014105814843286198,0.0031812720708133,0.0008772673184298625,0.00020569620253164543,0.0021253755233778546,0.0013200764457164567
GO:0031578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0071788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008935,0.0,0.0,0.0,0.0,0.0005667219053880003,0.0,9.878252012946846e-05,5.060177295294375e-18,0.0,0.0,0.0,0.0013214488580071632,0.0,0.0,0.0,0.0,0.0008592090461040595,0.0,0.0,0.0,0.00014230811648143483
GO:0006493,0.0,0.0,0.0,0.0006408928217460723,0.0006067334844083486,0.00011049237639753064,3.5460688066296366e-05,0.0018685763228016659,0.0,0.0,0.0004571759259259257,0.0,0.0,0.0,0.0,0.0,0.0007308775601603038,0.0003537670178935173,0.0006291072373817063,7.374985392387008e-05,0.0002753416644352618
