,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[45 83 17 32 55 69 18 50 59 84 75 70 71 85 54 23 44 63 87 10 47  2],0.2309,1.0,0.8353,0.8941
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[ 1 44 54 65 23 80 50 87 18 25 22 63 45 34 17 46 62 32 12 84  4 40],0.3657,1.0,0.8353,0.8118
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[27  5 20 59  0 80 47  8 43 68 42 40 78 58 34 51 36 54 50 85 74 15],0.1814,1.0,0.8353,0.8118
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[71  9 56  6 65 41 17 87 81 67  5 29 12 77 28 20 52 69  1 53 13 79],0.2686,1.0,0.7882,0.8353
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[68 75  1  4 36 11 69 47 50 84 25 12 60 35 70 18 27 73  0 31 79 38],0.35,1.0,0.5059,0.9176
5,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[ 7 73 69 16 17 19 54 48 43 86 22 72 20 79 59 47 63 56 53 31 57 26],0.192,1.0,0.5412,0.7059
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[55 13 43  6 44 23 28 79 70  7 45 58 12 21 20 81 26 59 19 31 67 57],0.2442,1.0,0.8,0.8
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[10 44  5 80 16 13 40 58 61 43  3 86 17 64 87  6 78 46 33 35 52 83],0.2133,1.0,0.8471,0.8824
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[ 9 80 39 23 82 56 69 28 11 84 52 51 44 46 30  0 67 15 81 59 70 60],0.22,1.0,0.7647,0.9
9,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[11 25 14 50 24 56 84 18  9 37 17 34 22 44 31 61 75 76 58 46 65  3],0.23,1.0,0.7412,0.8824
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 100}",[78 39 41 57 36 31 35 83 62 33 63 48 26 76 68 74 37  6 49 52 28  9],0.3478,1.0,0.8235,0.8471
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[60  4 27 17 15  1 68 42  0 38 28  6  7 18 46 19 77 51 75 84 29 16],0.21,1.0,0.6706,0.9529
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[18 21 47 65 31 43 67 87 22 40  7 20 49 66 76 63 68 59 15 11 34 26],0.17,1.0,0.6882,0.7882
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 6 30 31 16 25 78 55 70 57 51 27  4 83  9 20 87 67 68 44 47 84 81],0.1867,1.0,0.9176,0.8353
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[59 25 80 24 54 33 31 45  3 19 61  5 87 57 67 39 22 79 44 16 17 18],0.2208,1.0,0.8235,0.7412
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[55 11 26 83 43 41 45 39 76 74 72 61 63 21 71 32 81 31 23 87 14 54],0.2723,1.0,0.8118,0.8
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[62 76 41 67  9 45 81 46 27  2 23 58 10 19 37 53 48 69 60 42 83 63],0.232,1.0,0.5059,0.8706
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[12 78 16 50 38 85 87 29  4 64  9 23  6 28 17 65 44 53 54  1 80 58],0.2395,1.0,0.9059,0.8824
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[59  8 79 70 11 85 72 52 30 54 24 47  3 34 63 41 46 68 86 19 32 83],0.3417,1.0,0.9294,0.6941
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[23  2  0 12 83 61 42  4 13 15  5 55 26 62 81 45 65 32 54 36 80 52],0.2871,1.0,0.8588,0.7765
