,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[59 75  7 18 33  4 49  6 10 85 54 62 68 79 53  9 87 38 61 83 69 19],0.3482,1.0,0.6706,0.8706
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[29 78 40  4  1 71 57 55 47 13 21 28 17 30 85 18 56 80 34 54 26  0],0.4901,1.0,0.6824,0.8588
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 300}",[14 42 68 69 70  3 24 44 21 66 29 85 57 18 72 34 50 19 38 54 22 74],0.2883,1.0,0.9059,0.7882
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[84 28 43 68 31 41 22 29 12 19 44 48  1 32 37 26 15 40 60 86 83 49],0.14,1.0,0.5647,0.8824
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[ 9 41 38 61 63 50 11 13  6 48 87 20 86 66 70 53 18 80 40 55  3 82],0.2534,1.0,0.7647,0.8941
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[ 3 24 22 79  1 70 75 66 39 38 57 71 84 65 72 47 49 48 60 12 21 81],0.22,1.0,0.6941,0.8824
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[ 6 42  2 70 52  1 43 46 14 87 36 15  0 59 11 65  4 77 74 39 49  5],0.2792,1.0,0.8,0.8824
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[23 55  7 21 64 83 20 65  6 86 47 67 43 70 37 87  8 77 35 45 75 62],0.4714,1.0,0.5647,0.7412
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 3 19 37  1 17 75 61 72 31 36 84 26 62 39 64 46 85  0  5 27 55 59],0.15,1.0,0.6706,0.8353
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[67 23 10 39 75  4 79 61 21 14 48 70 80 38 77  3 24 78 32  8 42 25],0.2485,1.0,0.6353,0.8588
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 500}",[ 4 58 81 57 29 35 70 62 74 72 68 41 63 42 24 26 76 33 13  0 27 87],0.3486,1.0,0.6824,0.8824
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[33 25 85 67  7 51 61 71 81 53 21 48 34 17 23 40 46 79  3 43 76 75],0.3599,1.0,0.6824,0.8471
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[61 70 25  8 58 80 30 63 11 20 73 82 27 44 41 40 36 84 29 10 22 75],0.2978,1.0,0.7529,0.8471
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[25 13 11 85 86 44 76 36 58 68 29 21 57 61 31  3 62  9 20 64 47 81],0.184,1.0,0.6176,0.8941
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[30 61 72 44 33 34 13 54 68 50 60 35 63 57 70 84 78 21 59 29 31 52],0.2239,1.0,0.7294,0.9412
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[77 78 26 57 20 46 40 50  0 41  1 23 59 68  3 79 13 39 66 52 25 70],0.2102,1.0,0.7529,0.9176
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[72  9  7 87 47 30 54 45 16 85 67 53 78 17 11 27 42  6 86 56 73 74],0.3414,1.0,0.7412,0.8941
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[ 3 19 37  1 17 75 61 72 31 36 84 26 62 39 64 46 85  0  5 27 55 59],0.2066,1.0,0.7059,0.8706
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[71 77 72 44 46  5 29 27 43 11 41 80 32 84  7 62 38  6 47 63  2 26],0.1971,1.0,0.6471,0.9412
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 700}",[68 32 85 63 82 27 17 29 57  3 37 35 74 26 15 55 65 59 41 70 75 48],0.2083,1.0,0.6118,0.9176
