,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[10 66 77 16  2 69 36 42 51 31 28 86 61 57 17 19 34 55 56 45 43  9],0.1425,1.0,0.6588,0.7529
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[ 5 18 32  2 43 71 68 66 26 31 83 48 61 56 70 39 84  0  7 24 50 58],0.4256,1.0,0.9059,0.8118
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[80 28 12 55 65 57 50 10 43 82 39 66 24 64 32 78 73 62 69 13 15 30],0.13,1.0,0.6294,0.6882
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[42 12 47  9 30 72 29 68  1 39 37 60 55 71 22 75 17 81 83 52 58 74],0.3049,1.0,0.8588,0.8706
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[56 47 44 74 32 29 54 77 78 52 27 66  0 25 21 75 22 13 34 31 83 79],0.3463,1.0,0.8118,0.8
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[17 73 21 63 44 83 87 34  7 48 13 28  9 33 22 54 52 66 67  2 79  3],0.2418,1.0,0.6706,0.9176
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[23 46 19 71 21 33 68 49 87 74 32  4  6 58 36 35 51 73 48 44 50 14],0.3769,1.0,0.7647,0.8471
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",[ 9 68 40 23 74 20 84 72 73 78 81 52 65 59 42 87  1 13 26 64 16  6],0.1771,1.0,0.8,0.7529
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[27 60 20 61 85 13 87 23 58 82 43  0 18  7 39 15 64 28 22 79 70 34],0.1942,1.0,0.6,0.7059
9,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[11 62 84 71 50 81  1 65 86 37 41  8 75 16 20 76  5 33  2  0  4 73],0.252,1.0,0.7235,0.8471
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[ 2 65 59 48 70 54 73 28  7 67 30 80 33 63  8 78 45 52 36 87 12 20],0.2929,1.0,0.6941,0.7529
11,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 6 60 56 16 25 87 84 77 30  0 12 28 17 85  3 73 67 80  8 31 34 86],0.2967,1.0,0.7353,0.7706
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[69 35 49 36 34 54 72 24 40  0 78 27  2  1 61 74 30 47 73 75 50  5],0.3388,1.0,0.6353,0.8235
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[17 35 72 85 28 73 43 37 50 12 61 20  8 53 30  5 84 66 13 86 18 54],0.2425,1.0,0.8471,0.8824
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[44 58 79 41 87  9 56 15 71 69 59 35  3 20 53 83 23 51 37 25 33 40],0.1756,1.0,0.7412,0.7059
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[43 87 19 68 74 66 20 56 61 83 31 47 29 33 36 80  9 35 34 30 82 81],0.345,1.0,0.8,0.7882
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[14 63 58 48 45 10 57 41  4 28 53 13 78  8 19 11 40 24 60 38 79 12],0.2162,1.0,0.7882,0.7647
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[26  6 45 65 63 74 18 59 46 43 42 12  0  3  5 24 83 32 33  9 76 86],0.2044,1.0,0.6118,0.8706
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}",[84 18 14 61 15  8 37  9 85 11 69 20 10 23 12 67  4 42 65 49 29 79],0.294,1.0,0.7294,0.7294
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[34 60 42  6 20 82 56 69  9  0 84 12 59 15 19 39 45 22 74 48 31 37],0.3748,1.0,0.8941,0.8824
